organism,min_temp,max_temp,optimal_temp,min_pH,max_pH,optimum_ph,min_sal,max_sal,optimum_sal,motility,hidrocarbons,aerobiosis,anaerobiosis,gram,nitrate-red,source,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001416,,,,
Sagittula stellata,10,41,30,5.5,8.5,7.5,0.5,,,0,1,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-3-773,,,,,
Salipiger pacificus,22,40,37,5,10,7.5,1,10,5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64013-0,,,,,
Roseivivax marinus,4,37,32,6,10,8,0,12,3.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.062760-0,,,,,
Maritimibacter alkaliphilus,10,42,30,4,12,10,0.5,7.5,2.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64960-0,,,,,
Roseovarius mucosus,15,43,31,6.5,9.1,7.125,0.3,10,4,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63832-0,,,,,
Roseovarius halotolerans,10,45,35,6,10,7.5,0.5,20,3.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.002576-0,,,,,
Litorimicrobium taeanense,15,35,27.5,6,8,7,1,6,3,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.025007-0,,,,,
Thalassobius gelatinovorus,5,,,,,,0.5,,,1,0,1,0,0,1,https://www.jstage.jst.go.jp/article/jgam/44/3/44_3_201/_pdf/-char/en,,,,,
Poseidonocella pacifica,4,42,27.5,4,9.5,7.75,0.5,8,3.5,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s00203-011-0736-3,,,,,
Poseidonocella sedimentorum,7,41.5,26.5,4,9.5,7.5,0.5,6,2.5,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s00203-011-0736-3,,,,,
Roseivivax lentus,10,45,30,5.5,8,7.75,2,13,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.014795-0,,,,,
Marivita geojedonensis,10,40,30,6,7.5,7.25,0.5,9,2.5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.039065-0,,,,,
Salinihabitans flavidus,4,40,30,6,8,7.5,1,18,7,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.009183-0,,,,,
Roseovarius lutimaris,15,40,30,5,9,7,1,6,3,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.050807-0,,,,,
Sulfitobacter donghicola,10,31,25,6,8,7.5,0.5,5,3.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65071-0,,,,,
Cribrihabitans marinus,15,40,32.5,6.5,10.5,7.25,0,12,4,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.059576-0,,,,,
Tropicimonas sediminicola,15,42,37,6,10,7,0,8,1.5,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.037929-0,,,,,
Pseudoruegeria marinistellae,10,41,27.5,6,8.5,7.5,0,12,4.5,0,0,1,1,0,1,https://link.springer.com/article/10.1007/s10482-016-0789-z,,,,,
Tropicimonas isoalkanivorans,10,46,37,5.5,8,7.6,1,6,3,1,1,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65822-0,,,,,
Pseudoruegeria haliotis,10,37,30,5,9,7.5,0.5,5,1,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.053892-0,,,,,
Sedimentitalea nanhaiensis,4,37,25,6,9.3,7.75,0.6,6,2.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.010439-0,,,,,
Ruegeria litorea,15,30,28,,,8,1.7,7,4.35,0,0,1,0,0,1,https://www.sciencedirect.com/science/article/pii/S0723202013000647?via%3Dihub,,,,,
Ruegeria profundi,15,42,34,5.5,9,7.75,2.9,11.02,7.25,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002344,,,,,
Ruegeria pomeyori,10,40,30,,,,0.58,2.32,1.45,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02491-0,,,,,
Ruegeria marina,10,42,36,6.5,9,7.5,0,7.5,1.75,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.022400-0,,,,,
Thalassobius mediterraneus,13,37,,,,,1.4,8,,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63842-0,,,,,
Halocynthiibacter arcticus,10,27,21,5.5,9.5,7.25,0.5,7.5,2,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000507,,,,,
Aliiroseovarius sediminilitoris,4,37,30,5.5,8,7.5,0.5,8,2,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.043737-0,,,,,
Roseovarius aestuarii,10,37,30,6,8,7.5,0.5,7,3.75,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65657-0,,,,,
Sulfitobacter pontiacus,4,35,23.5,6.5,8.5,7.4,0.5,8,2.25,1,0,1,0,0,,https://www.researchgate.net/profile/Dimitry-Sorokin/publication/281579538_Sulfitobacter_pontiacus_gen_nov_sp_nov_-_A_new_heterotrophic_bacterium_from_the_Black_Sea_specialized_on_sulfite_oxidation/links/5e92df11a6fdcca7890e3036/Sulfitobacter-pontiacus-gen-nov-sp-nov-A-new-heterotrophic-bacterium-from-the-Black-Sea-specialized-on-sulfite-oxidation.pdf,,,,,
Sulfitobacter noctilucae,4,30,30,6,8,7.5,,6,,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.065961-0,,,,,
Sulfitobacter geojensis,4,30,25,5.5,8,7.5,,6,,,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.065961-0,,,,,
Sulfitobacter mediterraneus,4,35,22.5,6.5,8.5,7.25,0.2,8,1.75,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-2-513,,,,,
Tritonibacter mobile,5,35,30,5,11,7,0,10,1,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64572-0,,,,,
Phaeobacter piscinae,10,35,32,6.5,8.5,7,0.5,5.5,2.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002331,,,,,
Roseovarius nubinhibens,10,40,30,,,,1.16,4.64,2.9,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02491-0,,,,,
Paracoccus homiensis,10,40,27.5,5,9,7,,15,4,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64275-0,,,,,
Thioclava indica,10,41,30,6,10,7,0,18,3,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s10482-014-0320-3,,,,,
Rhodovulum imhoffii,20,35,28,6,9,7.5,0.5,4,2.25,0,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64470-0,,,,,
Ruegeria meonggei,4,30,30,6.5,8,7.5,1,6,2.5,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s10482-013-0107-y,,,,,
Defluviimonas denitrificans,10,40,35,5.5,9,6.75,0,5,1.5,0,0,0,1,0,1,https://www.sciencedirect.com/science/article/pii/S0723202011001627#sec0015,,,,,
Thioclava dalianensis,4,37,28,7.5,7.5,7.5,0.5,15,3,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.046094-0,,,,,
Salipiger aestuarii,10,40,27.5,5,9,6.75,1,11,3,1,1,1,0,0,1,https://digital.csic.es/handle/10261/268323,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.028332-0,,,,
Ruegeria mobilis,5,35,30,5,11,7,0,10,1,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64572-0,,,,,
Ruegeria halocynthiae,10,37,30,5.5,8,7.5,0.5,7,2.5,0,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.031609-0,,,,,
Pelagimonas varians,4,37,30,6,9.5,7.75,1.25,8,3.125,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.040675-0,,,,,
Tropicibacter phthalicicus,15,30,22.5,6,8,7,1,2,1.5,1,1,1,0,0,0,https://link.springer.com/article/10.1007/s00284-012-0085-8,,,,,
Roseovarius confluentis,15,40,30,6.5,10,7,0.5,13,2,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001630,,,,,
Aliiseovarius crassoterae,4,40,35.5,5.5,9,7.25,1,8,1.25,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63620-0,,,,,
Roseovarius albus,15,28,26.5,6.5,10,7,1.7,6,2.5,0,0,1,0,0,1,https://pubmed.ncbi.nlm.nih.gov/24488274/,,,,,
Pseudophaeobacter leonis,4,32,19.5,6.5,9,8.5,0.5,6,2,1,0,1,0,0,0,https://archimer.ifremer.fr/doc/00166/27750/25981.pdf,,,,,
Phaeobacter gallaeciensis,15,37,25,6,10.3,7,0.585,11.7,1.17,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-48-2-537,,,,,
Leisingera methylohalidivorans,10,42,27,6,8.7,7.7,1.5,6.5,4,1,1,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-3-851,,,,,
Epibacterium ulvae,12,34,25,6,9,7.5,1,6,2.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.042838-0,,,,,
Rhodosalinus sediminis,20,45,40,7,8.5,7.5,3,20,7,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002424,,,,,
Roseovarius indicus,10,39,25,6.5,10,7,1,15,4,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.023168-0,,,,,
Roseovarius atlanticus,4,45,26.5,4,10,7,0.5,15,4,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000768,,,,,
Halocynthiibacter namhaensis,4,30,25,6,8,7.25,0.5,4,2,0,0,1,0,0,0,https://link.springer.com/article/10.1007/s10482-014-0142-3,,,,,
Jannaschia aquimarina,15,37,30,5.5,8,7.5,0,7,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.038448-0,,,,,
Jhaorihella thermophila,25,55,41,5,9,8,2,6,3.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.025817-0,,,,,
Albidovulum inexpectatum,35,60,50,5.5,9,7.25,0,6,1.5,0,0,1,0,0,1,10.1128/AEM.68.9.4266-4273.2002,,,,,
Defluviimonas aquaemixtae,15,37,30,5,8.5,7.5,0.5,11,2.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.068767-0,,,,,
Kiloniella litopenaei,15,37,30,6,10,8,0.5,7,3,1,0,1,1,0,1,https://link.springer.com/article/10.1007/s10482-015-0581-5,,,,,
Labrenzia alba,13,28,23.5,,,,1,8,4.5,1,0,1,1,0,1,https://doi.org/10.1016/j.syapm.2005.05.010,,,,,
Labrenzia aggregata,,,,,,,0.3,6,3.125,1,0,1,,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64821-0,,,,,
Labrenzia alexandrii,15,34,26,6,9.2,7.75,1,10,4,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64821-0,,,,,
Nesiotobacter exalbescens,4,45,30,,,,0.5,17.5,7.5,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63440-0,,,,,
Breoghania corrubedonensis,15,40,30,5,8.5,7,1,10,3,1,1,1,0,0,1,https://doi.org/10.1016/j.syapm.2010.06.005,,,,,
Rhodobium orientis,,,32.5,6,8.5,7.25,2,8,4.5,1,0,1,1,0,1,https://www.researchgate.net/profile/Akira-Hiraishi/publication/15662169_A_New_Genus_of_Marine_Budding_Phototrophic_Bacteria_Rhodobium_gen_nov_Which_Includes_Rhodobium_orientis_sp_nov_and_Rhodobium_marinum_comb_nov/links/0deec534ccb9d3f09c000000/A-New-Genus-of-Marine-Budding-Phototrophic-Bacteria-Rhodobium-gen-nov-Which-Includes-Rhodobium-orientis-sp-nov-and-Rhodobium-marinum-comb-nov.pdf,,,,,
Magnetovibrio blakemorei,4,31,27,,,7,,,,1,1,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.044453-0,,,,,
Oceanibacterium hippocampi,10,35,25,5,9,7,1,6,2,1,0,1,0,0,1,https://link.springer.com/article/10.1007/s10482-012-9726-y,,,,,
Pseudovibrio denitrificans,20,35,30,6.5,9,8,1,7,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63107-0,,,,,
Pseudovibrio axinellae,10,30,24,6,9,7,1,4,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.040196-0,,,,,
Afifella marina,,,27.5,6,8.5,7,1,5,4.5,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-45-2-226,,,,,
Afifella pfennigii,,,32.5,6.3,8.5,7.35,0,5,1.5,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64775-0,,,,,
Bauldia litoralis,1,39,30,,,,0.5,4.5,2.5,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-33-3-613,,,,,
Stappia indica,4,42,31,,,,0.5,11,3,1,1,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.013417-0,,,,,
Acuticoccus yangtzensis,15,50,35,6,9,7.6,2,10,3,1,0,1,0,0,0,https://link.springer.com/article/10.1007/s00284-014-0698-1,,,,,
Cohaesibacter marisflavi,10,38,27.5,4,9,7.5,0.5,15,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.021972-0,,,,,
Cohaesibacter gelatinilyticus,15,31,27.5,6,9,8,2,5,3,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65016-0,,,,,
Pseudovibrio ascidiaceicola,10,30,27.5,5,9,7.5,3,5,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63879-0,,,,,
Fulvimarina manganoxydans,4,45,28,4,9,6.5,0,10,2.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/docserver/fulltext/ijsem/64/8/2920_ijs060558.pdf?expires=1664448099&id=id&accname=184020&checksum=CFCCEF212ADBDD7D748F59F393AC4A7A,,,,,
Fulvimarina pelagi,4,40,30,5.5,10,7.75,0,10,2.25,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02644-0,,,,,
Hoeflea marina ,4,37,28,6,8,7,0,5,3,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63291-0,,,,,
Hoeflea phototrophica,,33,31,6,9,,0.5,7,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63958-0,,,,,
Ahrensia marina,10,37,28,7,9,8,0,10,2,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000805,,,,,
Mesorhizobium oceanicum,25,40,35,5.5,9,7,0,8,3,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002009,,,,,
Nitratireductor basaltis,15,45,,5.5,10,,0,8,,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65784-0,,,,,
Nitratireductor aquibiodomus,,,32.5,,,7.25,0,5,1,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02793-0,,,,,
Nitratireductor indicus,10,43,27.5,,,,0,7,3,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.022962-0,,,,,
Nitratireductor pacificus,10,41,27.5,,,,0,7,3,1,1,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.024356-0,,,,,
Brucella melitensis,20,40,37,,,7,,,,0,0,1,0,0,1,https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00807.pub2,,,,,
Rhodopseudomonas palustris,20,35,,6,8,7,0,0.5,,1,1,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.026815-0,,,,,
Pseudorhodoplanes sinuspersici,15,35,30,5.5,8,7,0,3.5,0.5,0,1,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000643,,,,,
Afipia broomeae,25,37,30,,,,,,,1,0,1,0,0,0,10.1128/jcm.29.11.2450-2460.1991,,,,,
Methylobacterium salsuginis,,,30,5,8,7,,1.5,,1,1,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64877-0,,,,,
Agrobacterium tumefaciens,,31,28,,,,,,,1,0,1,,0,,https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-313x.1997.12061459.x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3350319/,https://pubmed.ncbi.nlm.nih.gov/17766409/,,,
Pseudorhizobium pelagicum,10,40,28,5,,7.25,1,7,,,0,1,0,0,1,https://www.sciencedirect.com/science/article/pii/S0723202015000855?via%3Dihub,,,,,
Leucothrix pacifica,4,35,28,7,9,8,1,3,2,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000270,,,,,
Hyphomicrobium nitrativorans,15,35,32.5,7,9.5,8,0,1,0.25,,1,1,,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.048124-0,,,,,
Aurantimonas coralicida,4,37,,,,,0.5,,3.2,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02359-0,,,,,
Pararhodobacter aggregans,15,40,35,6,10,7.75,0,5,2,0,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0723202011001627?via%3Dihub,,,,,
